security,sector,industry,final_cluster,trade_volume_bin,cluster,trade_value_category,category_minimum,categiry_maximum,option_ticker,security_1,option_type,strike_price,expiration,conditions,correction,exchange,price,sip_timestamp,size,trade_value,data_date,option_condition_name,sector_1,industry_1,security_open,security_high,security_low,security_close,trade_rank,trade_value_log10,trade_value_bin,itm,itm_expiration_day,itm_expriation_close,otm
B,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,7074.000000000001,12000.0,O:B250620C00021000,B,C,21.0,2025-06-20,209,0,316,0.27,1748957927981000000,262,7074.000000000001,2025-06-03,Automatic Execution,Basic Materials,Mining - Gold,20.08,20.19,19.88,20.09,27,3.8496650554787326,5,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,7. p90_trade_value,13321.0,18600.0,O:B250620C00021000,B,C,21.0,2025-06-20,209,0,320,0.25,1748970005334000000,721,18025.0,2025-06-03,Automatic Execution,Basic Materials,Mining - Gold,20.08,20.19,19.88,20.09,8,4.255875273391466,2,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,6. p95_trade_value,19494.0,19800.0,O:B250620C00021000,B,C,21.0,2025-06-20,209,0,316,0.27,1748976312322000000,729,19683.0,2025-06-03,Automatic Execution,Basic Materials,Mining - Gold,20.08,20.19,19.88,20.09,4,4.294091292476962,1,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,6. p95_trade_value,19494.0,19800.0,O:B250620C00021000,B,C,21.0,2025-06-20,209,0,320,0.27,1748958140526000000,722,19494.000000000004,2025-06-03,Automatic Execution,Basic Materials,Mining - Gold,20.08,20.19,19.88,20.09,5,4.289900961728627,1,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,7074.000000000001,12000.0,O:B250620C00022000,B,C,22.0,2025-06-20,209,0,302,0.11,1748957950914000000,733,8063.0,2025-06-03,Automatic Execution,Basic Materials,Mining - Gold,20.08,20.19,19.88,20.09,22,3.906496659799353,4,0,0,0,1
B,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,7074.000000000001,12000.0,O:B250620C00021000,B,C,21.0,2025-06-20,209,0,313,0.3,1749044343479000000,243,7289.999999999999,2025-06-04,Automatic Execution,Basic Materials,Mining - Gold,20.22,20.3,20.085,20.14,25,3.8627275283179747,5,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,7074.000000000001,12000.0,O:B250620C00021000,B,C,21.0,2025-06-20,209,0,313,0.3,1749044343479000000,238,7139.999999999999,2025-06-04,Automatic Execution,Basic Materials,Mining - Gold,20.22,20.3,20.085,20.14,26,3.8536982117761744,5,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,7. p90_trade_value,13321.0,18600.0,O:B250620C00021000,B,C,21.0,2025-06-20,209,0,313,0.3,1749044355312000000,488,14640.0,2025-06-04,Automatic Execution,Basic Materials,Mining - Gold,20.22,20.3,20.085,20.14,9,4.165541076722373,2,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,7. p90_trade_value,13321.0,18600.0,O:B250620C00021000,B,C,21.0,2025-06-20,209,0,313,0.3,1749044355312000000,488,14640.0,2025-06-04,Automatic Execution,Basic Materials,Mining - Gold,20.22,20.3,20.085,20.14,10,4.165541076722373,2,1,0,0,0
B,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,7074.000000000001,12000.0,O:B250627P00019000,B,P,19.0,2025-06-27,209,0,313,0.3,1749221545933000000,285,8550.0,2025-06-06,Automatic Execution,Basic Materials,Mining - Gold,19.99,20.04,19.57,19.82,21,3.931966114728173,4,0,0,0,1
B,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,7074.000000000001,12000.0,O:B250620P00020000,B,P,20.0,2025-06-20,229,0,313,0.08,1749745214238000000,1500,12000.0,2025-06-12,Single Leg Cross Non ISO,Basic Materials,Mining - Gold,20.49,21.055,20.36,20.93,12,4.079181246047625,2,0,0,0,0
GFI,Basic Materials,Mining - Gold,20__0,20,0.0,8. p75_trade_value,15312.0,29459.999999999996,O:GFI240920P00014000,GFI,P,14.0,2024-09-20,209,0,320,0.55,1724420299851000000,395,21725.000000000004,2024-08-23,Automatic Execution,Basic Materials,Mining - Gold,14.78,14.78,14.18,14.52,20,4.336959785120704,3,1,0,0,0
GFI,Basic Materials,Mining - Gold,20__0,20,0.0,6. p95_trade_value,45000.0,70770.0,O:GFI240920C00015000,GFI,C,15.0,2024-09-20,209,0,313,0.3,1724681167184000000,2359,70770.0,2024-08-26,Automatic Execution,Basic Materials,Mining - Gold,14.58,14.59,14.11,14.25,3,4.849849195605258,1,1,1,1,0
