data_date,option_ticker,size,price,trade_value,trade_value_bracket,sip_timestamp,conditions,correction,exchange,id,name,type,data_types,security,expiration,option_type,strike_price,volume,transactions,anomaly_category,anomaly_volume,day_rank
2025-05-15,O:CRBG250718C00035000,44,0.5,2200.0,<$0.1M,1747318812815000000,209,0,315,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,35.0,125,11,21,61.078,16
2025-05-15,O:CRBG250718C00035000,51,0.5,2550.0,<$0.1M,1747318812815000000,209,0,323,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,35.0,125,11,21,61.078,16
2025-05-20,O:CRBG250718C00035000,10,0.85,850.0,<$0.1M,1747755577822000000,209,0,303,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,35.0,134,27,21,61.078,13
2025-05-20,O:CRBG250718C00035000,22,0.85,1870.0,<$0.1M,1747755577821000000,209,0,313,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,35.0,134,27,21,61.078,13
2025-05-20,O:CRBG250718C00035000,22,0.85,1870.0,<$0.1M,1747755577822000000,209,0,318,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,35.0,134,27,21,61.078,13
2025-05-20,O:CRBG250718C00035000,17,0.85,1445.0,<$0.1M,1747755577822000000,209,0,319,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,35.0,134,27,21,61.078,13
2025-05-20,O:CRBG250718C00035000,12,0.85,1019.9999999999999,<$0.1M,1747755577822000000,209,0,316,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,35.0,134,27,21,61.078,13
2025-01-29,O:CRBG250718C00036000,100,2.15,21500.0,<$0.1M,1738177430165000000,209,0,316,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,36.0,818,24,21,61.078,90
2025-01-29,O:CRBG250718C00036000,303,2.15,65144.99999999999,<$0.1M,1738177426366000000,209,0,316,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,36.0,818,24,21,61.078,90
2025-01-29,O:CRBG250718C00036000,100,2.15,21500.0,<$0.1M,1738177430219000000,209,0,316,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,36.0,818,24,21,61.078,90
2025-01-29,O:CRBG250718C00036000,100,2.15,21500.0,<$0.1M,1738177430193000000,209,0,316,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,36.0,818,24,21,61.078,90
2025-02-12,O:CRBG250718C00036000,200,1.25,25000.0,<$0.1M,1739374270837000000,209,0,316,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,36.0,374,6,21,61.078,80
2025-02-12,O:CRBG250718C00036000,170,1.25,21250.0,<$0.1M,1739374280129000000,209,0,316,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,36.0,374,6,21,61.078,80
2025-02-19,O:CRBG250718C00036000,392,1.5,58800.0,<$0.1M,1739997797931000000,209,0,316,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,36.0,421,9,21,61.078,76
2025-01-24,O:CRBG250718C00037000,77,1.12,8624.0,<$0.1M,1737734752863000000,209,0,325,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,37.0,284,11,21,61.078,93
2025-01-24,O:CRBG250718C00037000,86,1.12,9632.0,<$0.1M,1737734740412000000,227,0,323,227,Single Leg Auction Non ISO,sale_condition,trade,CRBG,2025-07-18,C,37.0,284,11,21,61.078,93
2025-01-29,O:CRBG250718C00037000,25,1.75,4375.0,<$0.1M,1738177426371000000,209,0,316,209,Automatic Execution,sale_condition,trade,CRBG,2025-07-18,C,37.0,106,18,21,61.078,90
