security,sector,industry,itm_threshold,unusual_baseline,trade_value_category,num_trades_over_baseline,num_trades_total,final_cluster,trade_volume_bin,trade_volume_bin_rank,cluster,p90_trade_value,p95_trade_value,p99_trade_value,p999_trade_value,p9999_trade_value,p99999_trade_value,p999999_trade_value
ELDN,Medical,Medical - Biomedical and Genetics,0.55,,,,2,5__3,5,3,3.0,13900.0,14450.0,14890.0,14989.0,14998.9,14999.89,14999.99
ENSG,Medical,Medical - Nursing Homes,0.55,6785.000000000001,8. p75_trade_value,4.0,13,10__0,10,3,0.0,8384.0,11438.0,14795.6,15551.06,15626.61,15634.16,15634.92
EOLS,Medical,Medical - Products,0.55,,,,9,10__0,10,3,0.0,22520.0,51260.0,74252.0,79425.2,79942.52,79994.25,79999.43
ESPR,Medical,Medical - Drugs,0.55,8964.0,1. p999999_trade_value,1.0,10,10__0,10,3,0.0,8478.9,8721.45,8915.49,8959.15,8963.51,8963.95,8964.0
ETNB,Medical,Medical - Biomedical and Genetics,0.55,11940.0,1. p999999_trade_value,1.0,40,15__0,15,3,0.0,7609.5,8330.0,11124.9,11858.49,11931.85,11939.18,11939.92
ETON,Medical,Medical - Biomedical and Genetics,0.55,,,,4,5__0,5,3,0.0,4470.0,4485.0,4497.0,4499.7,4499.97,4500.0,4500.0
EYEN,Medical,Medical - Biomedical and Genetics,0.55,,,,2,5__0,5,3,0.0,8960.0,9230.0,9446.0,9494.6,9499.46,9499.95,9499.99
EYPT,Medical,Medical - Biomedical and Genetics,0.55,,,,14,10__0,10,3,0.0,9790.0,11224.5,11260.9,11269.09,11269.91,11269.99,11270.0
FATE,Medical,Medical - Biomedical and Genetics,0.55,7475.0,8. p75_trade_value,2.0,7,10__0,10,3,0.0,8725.0,9662.5,10412.5,10581.25,10598.12,10599.81,10599.98
FBIO,Medical,Medical - Biomedical and Genetics,0.55,,,,3,5__0,5,3,0.0,5156.0,5300.5,5416.1,5442.11,5444.71,5444.97,5445.0
FDMT,Medical,Medical - Drugs,0.55,,,,12,10__0,10,3,0.0,6700.0,9337.5,11867.5,12436.75,12493.68,12499.37,12499.94
FGEN,Medical,Medical - Drugs,0.55,7265.000000000001,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,7265.0,7265.0,7265.0,7265.0,7265.0,7265.0,7265.0
FOLD,Medical,Medical - Biomedical and Genetics,0.55,,,,28,15__0,15,3,0.0,52750.0,125075.0,149460.0,149946.0,149994.6,149999.46,149999.95
GANX,Medical,Medical - Drugs,0.55,7500.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0,7500.0
GERN,Medical,Medical - Biomedical and Genetics,0.55,,,,19,15__0,15,3,0.0,11000.0,17500.0,35500.0,39550.0,39955.0,39995.5,39999.55
GHRS,Medical,Medical - Biomedical and Genetics,0.55,19900.0,8. p75_trade_value,2.0,6,10__0,10,3,0.0,20700.0,21100.0,21420.0,21492.0,21499.2,21499.92,21499.99
GLPG,Medical,Medical - Biomedical and Genetics,0.55,,,,15,10__0,10,3,0.0,55330.0,63625.0,72725.0,74772.5,74977.25,74997.73,74999.77
GLUE,Medical,Medical - Biomedical and Genetics,0.55,21060.0,1. p999999_trade_value,1.0,9,10__0,10,3,0.0,11700.0,16380.0,20124.0,20966.4,21050.64,21059.06,21059.91
GMAB,Medical,Medical - Biomedical and Genetics,0.55,,,,7,10__0,10,3,0.0,10934.0,10967.0,10993.4,10999.34,10999.93,10999.99,11000.0
GNLX,Medical,Medical - Biomedical and Genetics,0.55,,,,1,0__2,0,3,2.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0
GRFS,Medical,Medical - Drugs,0.55,16887.0,7. p90_trade_value,2.0,18,15__0,15,3,0.0,9266.1,16892.85,16919.37,16925.34,16925.93,16925.99,16926.0
HCM,Medical,Medical - Biomedical and Genetics,0.55,5500.0,1. p999999_trade_value,1.0,1,0__2,0,3,2.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0,5500.0
HITI,Medical,Medical - Products,0.55,,,,2,5__0,5,3,0.0,4772.0,4786.0,4797.2,4799.72,4799.97,4800.0,4800.0
HOWL,Medical,Medical - Biomedical and Genetics,0.55,,,,2,5__0,5,3,0.0,5761.0,5820.5,5868.1,5878.81,5879.88,5879.99,5880.0
HRMY,Medical,Medical - Biomedical and Genetics,0.55,,,,12,10__0,10,3,0.0,9203.5,11072.7,12659.34,13016.33,13052.03,13055.6,13055.96
HRTX,Medical,Medical - Drugs,0.55,5000.0,1. p999999_trade_value,1.0,3,5__0,5,3,0.0,4998.0,4999.0,4999.8,4999.98,5000.0,5000.0,5000.0
HSIC,Medical,Medical - Dental Supplies,0.55,,,,53,15__0,15,3,0.0,60000.0,69600.0,110000.0,110000.0,110000.0,110000.0,110000.0
HYPR,Medical,Medical - Instruments,0.55,,,,5,5__0,5,3,0.0,10013.4,11254.2,12246.84,12470.18,12492.52,12494.75,12494.98
IART,Medical,Medical - Instruments,0.55,,,,4,5__1,5,3,1.0,65970.0,77985.0,87597.0,89759.7,89975.97,89997.6,89999.76
ICUI,Medical,Medical - Products,0.55,,,,24,15__0,15,3,0.0,10522.0,26249.0,75508.0,88010.8,89261.08,89386.11,89398.61
IDYA,Medical,Medical - Biomedical and Genetics,0.55,,,,5,5__3,5,3,3.0,12569.0,15092.0,17110.4,17564.54,17609.95,17614.5,17614.95
IFRX,Medical,Medical - Biomedical and Genetics,0.55,,,,1,0__2,0,3,2.0,4440.0,4440.0,4440.0,4440.0,4440.0,4440.0,4440.0
IGMS,Medical,Medical - Biomedical and Genetics,0.55,6500.0,1. p999999_trade_value,1.0,4,5__0,5,3,0.0,6050.0,6275.0,6455.0,6495.5,6499.55,6499.96,6500.0
IMCR,Medical,Medical - Biomedical and Genetics,0.55,,,,12,10__2,10,3,2.0,62013.6,132400.95,201036.99,216480.1,218024.41,218178.84,218194.28
IMNM,Medical,Medical - Biomedical and Genetics,0.55,,,,12,10__0,10,3,0.0,6832.5,8245.6,9463.52,9737.55,9764.96,9767.7,9767.97
IMTX,Medical,Medical - Biomedical and Genetics,0.55,50000.0,1. p999999_trade_value,1.0,8,10__0,10,3,0.0,34887.0,42443.5,48488.7,49848.87,49984.89,49998.49,49999.85
IMUX,Medical,Medical - Biomedical and Genetics,0.55,,,,4,5__3,5,3,3.0,26292.0,31146.0,35029.2,35902.92,35990.29,35999.03,35999.9
INBX,Medical,Medical - Biomedical and Genetics,0.55,8825.0,1. p999999_trade_value,1.0,4,5__0,5,3,0.0,8007.5,8416.25,8743.25,8816.83,8824.18,8824.92,8824.99
INDV,Medical,Medical - Drugs,0.55,,,,9,10__2,10,3,2.0,52000.0,76000.0,95200.0,99520.0,99952.0,99995.2,99999.52
INMB,Medical,Medical - Biomedical and Genetics,0.55,,,,47,15__0,15,3,0.0,6060.0,6356.5,9608.0,11760.8,11976.08,11997.61,11999.76
